"task_id","category","difficulty","diffusion_result","diffusion_seconds","diffusion_status","diffusion_model_calls","diffusion_exit","nemotron_result","nemotron_seconds","nemotron_status","seconds_delta","diffusion_over_nemotron"
"cvdp_agentic_digital_stopwatch_0001","cid005","easy","fail",17.232,"completed",16,"Submitted","fail",263.288,"failed",-246.056,0.0654
"cvdp_agentic_direct_map_cache_0001","cid003","medium","fail",709.714,"completed",60,"LimitsExceeded","fail",218.477,"completed",491.237,3.2485
"cvdp_agentic_direct_map_cache_0003","cid004","medium","fail",159.968,"completed",60,"LimitsExceeded","fail",948.414,"completed",-788.446,0.1687
"cvdp_agentic_dma_xfer_engine_0001","cid003","medium","fail",229.512,"completed",60,"LimitsExceeded","fail",610.335,"completed",-380.822,0.376
"cvdp_agentic_door_lock_0001","cid003","medium","fail",421.499,"completed",27,"Submitted","fail",351.108,"completed",70.392,1.2005
"cvdp_agentic_dual_port_memory_0001","cid016","easy","pass",12.68,"completed",14,"Submitted","pass",120.764,"completed",-108.084,0.105
"cvdp_agentic_dual_port_memory_0004","cid004","medium","pass",9.376,"completed",9,"Submitted","fail",283.397,"completed",-274.022,0.0331
"cvdp_agentic_dynamic_equalizer_0001","cid003","hard","fail",1224.688,"completed",60,"LimitsExceeded","fail",480.011,"completed",744.677,2.5514
"cvdp_agentic_dynamic_equalizer_0004","cid004","hard","fail",774.516,"completed",60,"LimitsExceeded","fail",1182.499,"completed",-407.983,0.655
"cvdp_agentic_dynamic_equalizer_0008","cid005","hard","fail",8.623,"completed",10,"Submitted","fail",436.751,"completed",-428.127,0.0197
"cvdp_agentic_elevator_control_0004","cid004","medium","fail",54.581,"completed",17,"Submitted","fail",1118.839,"completed",-1064.257,0.0488
"cvdp_agentic_ethernet_mii_0004","cid003","medium","fail",1561.301,"completed",60,"LimitsExceeded","fail",1468.294,"completed",93.007,1.0633
"cvdp_agentic_ethernet_mii_0006","cid003","hard","fail",103.296,"completed",47,"Submitted","fail",336.419,"completed",-233.123,0.307
"cvdp_agentic_event_scheduler_0001","cid003","easy","pass",14.479,"completed",13,"Submitted","fail",579.215,"completed",-564.736,0.025
"cvdp_agentic_event_scheduler_0004","cid004","medium","pass",10.074,"completed",8,"Submitted","fail",839.484,"completed",-829.409,0.012
"cvdp_agentic_event_storing_0001","cid005","hard","fail",70.456,"completed",24,"Submitted","fail",614.57,"completed",-544.114,0.1146
"cvdp_agentic_fixed_arbiter_0010","cid004","easy","pass",8.475,"completed",13,"Submitted","fail",137.485,"completed",-129.01,0.0616
"cvdp_agentic_gcd_0007","cid005","hard","fail",1148.491,"completed",60,"LimitsExceeded","fail",722.61,"completed",425.881,1.5894
"cvdp_agentic_hdbn_codec_0001","cid005","medium","fail",267.406,"completed",23,"Submitted","fail",376.786,"completed",-109.38,0.7097
"cvdp_agentic_jpeg_runlength_enc_0001","cid005","hard","pass",142.645,"completed",18,"Submitted","fail",455.734,"completed",-313.089,0.313
"cvdp_agentic_lfsr_0001","cid016","easy","pass",5.471,"completed",9,"Submitted","pass",245.877,"completed",-240.406,0.0223
"cvdp_agentic_lfsr_0005","cid016","easy","fail",66.643,"completed",9,"Submitted","fail",1700.435,"completed",-1633.793,0.0392
"cvdp_agentic_low_power_channel_0001","cid005","medium","pass",11.179,"completed",15,"Submitted","fail",318.658,"completed",-307.48,0.0351
"cvdp_agentic_monte_carlo_0006","cid016","hard","fail",624.571,"completed",60,"LimitsExceeded","pass",1662.34,"completed",-1037.769,0.3757
"cvdp_agentic_multiplexer_0001","cid003","medium","pass",7.524,"completed",7,"Submitted","pass",147.301,"completed",-139.777,0.0511
"cvdp_agentic_nbit_swizzling_0001","cid003","easy","pass",120.591,"completed",42,"Submitted","pass",251.382,"completed",-130.791,0.4797
"cvdp_agentic_nmea_gps_0008","cid004","medium","fail",981.425,"completed",60,"LimitsExceeded","fail",938.652,"completed",42.774,1.0456
"cvdp_agentic_phase_rotation_0010","cid005","medium","fail",231.413,"completed",60,"LimitsExceeded","fail",1075.776,"completed",-844.363,0.2151
"cvdp_agentic_phase_rotation_0013","cid004","medium","fail",10.526,"completed",9,"Submitted","fail",1052.679,"completed",-1042.153,0.01
"cvdp_agentic_phase_rotation_0015","cid004","medium","fail",57.875,"completed",36,"Submitted","fail",3524.794,"completed",-3466.919,0.0164
"cvdp_agentic_phase_rotation_0019","cid004","medium","fail",12.677,"completed",7,"Submitted","fail",1902.019,"completed",-1889.342,0.0067
"cvdp_agentic_phase_rotation_0028","cid005","hard","fail",1960.648,"completed",60,"LimitsExceeded","fail",963.009,"completed",997.638,2.036
"cvdp_agentic_phase_rotation_0031","cid004","hard","fail",391.623,"completed",60,"LimitsExceeded","fail",1660.901,"completed",-1269.278,0.2358
"cvdp_agentic_phase_rotation_0038","cid003","medium","fail",108.954,"completed",31,"Submitted","fail",198.111,"completed",-89.158,0.55
"cvdp_agentic_poly_decimator_0001","cid005","medium","fail",28.15,"completed",18,"Submitted","fail",1798.733,"completed",-1770.584,0.0156
"cvdp_agentic_prbs_0001","cid005","medium","fail",11.729,"completed",9,"Submitted","fail",826.618,"completed",-814.888,0.0142
"cvdp_agentic_programmable_fsm_dynamic_state_encoding_0001","cid004","easy","pass",14.334,"completed",11,"Submitted","pass",699.323,"completed",-684.989,0.0205
"cvdp_agentic_queue_0001","cid003","medium","fail",33.057,"completed",17,"Submitted","fail",245.516,"completed",-212.459,0.1346
"cvdp_agentic_rc5_0001","cid003","hard","fail",35.208,"completed",9,"Submitted","fail",1269.265,"failed",-1234.058,0.0277
"cvdp_agentic_rgb_color_space_conversion_0001","cid003","medium","fail",1910.471,"completed",60,"LimitsExceeded","fail",1014.261,"completed",896.21,1.8836
"cvdp_agentic_rgb_color_space_conversion_0004","cid004","medium","fail",1037.329,"completed",60,"LimitsExceeded","fail",1972.697,"completed",-935.367,0.5258
"cvdp_agentic_secure_apb_history_shift_register_0001","cid004","hard","fail",17.988,"completed",11,"Submitted","fail",419.972,"completed",-401.984,0.0428
"cvdp_agentic_sigma_delta_audio_0001","cid003","medium","fail",108.836,"completed",10,"Submitted","pass",240.201,"completed",-131.364,0.4531
"cvdp_agentic_signed_comparator_0001","cid003","medium","fail",46.27,"completed",60,"LimitsExceeded","pass",34.907,"completed",11.363,1.3255
"cvdp_agentic_sorter_0009","cid004","easy","fail",32.256,"completed",21,"Submitted","fail",2963.715,"completed_no_patch",-2931.458,0.0109
"cvdp_agentic_sorter_0016","cid005","medium","fail",31.806,"completed",21,"Submitted","fail",1652.868,"completed",-1621.062,0.0192
"cvdp_agentic_sorter_0026","cid005","hard","fail",48.226,"completed",29,"Submitted","fail",606.928,"completed",-558.702,0.0795
"cvdp_agentic_spi_complex_mult_0002","cid003","medium","fail",1941.748,"completed",60,"LimitsExceeded","fail",485.509,"completed",1456.239,3.9994
"cvdp_agentic_swizzler_0001","cid003","medium","pass",15.785,"completed",17,"Submitted","pass",80.96,"completed",-65.176,0.195
"cvdp_agentic_swizzler_0005","cid005","medium","fail",347.447,"completed",60,"LimitsExceeded","fail",470.498,"completed",-123.052,0.7385
"cvdp_agentic_sync_serial_communication_0001","cid003","medium","fail",34.6,"completed",19,"Submitted","fail",629.787,"completed",-595.187,0.0549
"cvdp_agentic_systolic_array_0001","cid005","medium","fail",200.869,"completed",14,"Submitted","fail",1784.087,"completed",-1583.218,0.1126
"cvdp_agentic_thermostat_secure_0001","cid004","hard","fail",195.517,"completed",15,"Submitted","fail",167.178,"completed",28.339,1.1695
"cvdp_agentic_traffic_light_controller_0001","cid004","hard","fail",6.723,"completed",6,"Submitted","fail",282.217,"completed",-275.494,0.0238
"cvdp_agentic_ttc_lite_0001","cid003","medium","fail",21.943,"completed",16,"Submitted","fail",548.938,"completed",-526.996,0.04
"cvdp_agentic_universal_shift_reg_0001","cid003","medium","fail",8.275,"completed",11,"Submitted","fail",274.215,"completed",-265.941,0.0302
"cvdp_agentic_universal_shift_reg_0003","cid004","medium","pass",16.684,"completed",19,"Submitted","fail",275.205,"completed",-258.521,0.0606
